Ventas;Demanda
3002363069;3629469830
3870245123;5425081170
3408016244;4340482856
5364500496;6064605621
3711582926;5200427982
3738425440;5924473095
4425778339;9702260127
4811028920;9677812712
4166302834;8514685767
5456001900;10678002813
5743177481;10841743460
4729748693;11151973379
4103278891;7334626966
4724470066;8905776953
5153437352;10345631140
4979254102;10570163380
4375124679;9855973897
4506489056;7829385828
4434184070;8245249274
4636906394;7987820877
4157455767;6760231507
6202513214;7351275487
4445321777;8459563254
5943211204;6875005675
3029371746;6446665601
3645579091;5704172890
4132449038;6053374220
5118594594;8447650181
4449145466;7333725001
5589548975;9967757959
4868145768;8745496884
5443081256;9142277423
2477136354;8173474802
